72,1200.00,21.26,915.86,60.59,21.37,914.96,29690,-0.55,0.11,9.77,-0.06,-0.14,-0.01,0.06,-0.06,0.19,-0.25,-20.06,-47.38,347.50,-2.81,1.44,0.99,0.01,0.03,0.11,2020,8,2,0,1,28,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,22.03,a,-40.51,21.05,a,81.54,20.46,a,-36.30,20.85,fin
73,1210.00,21.27,915.85,60.69,21.38,914.98,29711,-0.42,0.15,9.77,0.06,-0.07,-0.01,0.19,-0.25,-0.06,-1.06,-19.38,-48.25,347.50,-2.81,1.25,0.99,0.01,0.03,0.11,2020,8,2,0,1,29,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-36.30,22.03,a,-42.61,21.05,a,82.59,20.46,a,-34.20,20.85,fin
74,1220.00,21.28,915.84,61.03,21.39,914.99,29735,-0.49,0.12,9.79,0.00,-0.09,0.00,0.31,-0.31,0.00,-1.06,-19.75,-47.88,347.50,-2.81,1.25,0.99,0.01,0.03,0.11,2020,8,2,0,1,30,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,22.03,a,-39.46,21.05,a,79.44,20.46,a,-39.46,20.95,fin
75,1230.00,21.29,915.81,61.02,21.40,914.99,29747,-0.57,0.01,9.70,-0.09,-0.12,-0.09,-0.81,0.62,0.25,-0.25,-11.88,-29.50,347.50,-2.81,0.75,0.99,0.00,0.03,0.11,2020,8,2,0,1,31,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-38.40,22.03,a,-40.51,21.05,a,79.44,20.46,a,-36.30,20.95,fin
76,1240.00,21.29,915.88,60.64,21.40,914.98,29768,-0.18,0.62,9.92,0.31,0.49,0.13,-1.25,1.31,-0.25,0.56,-11.19,-28.25,347.50,-2.88,0.75,0.99,0.00,0.03,0.11,2020,8,2,0,1,32,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,22.03,a,-40.51,21.05,a,81.54,20.46,a,-37.35,20.95,fin
80,1240.00,21.30,915.86,60.53,21.41,915.00,29779,-0.52,0.14,9.79,-0.06,0.09,0.00,-0.88,-1.44,-0.06,-0.06,-11.38,-28.25,347.50,-2.62,0.19,0.99,-0.00,0.02,0.11,2020,8,2,0,1,36,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,22.03,a,-42.61,21.05,a,81.54,20.46,a,-37.35,20.85,fin
82,1230.00,21.31,915.81,60.91,21.43,914.97,29812,-0.49,0.04,9.77,-0.05,0.04,-0.02,-0.25,0.00,0.00,-0.56,-11.25,-27.56,347.50,-2.56,0.00,0.99,-0.00,0.02,0.11,2020,8,2,0,1,38,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-41.56,22.03,a,-42.61,21.05,a,81.54,20.46,a,-34.20,20.95,fin
83,1220.00,21.33,915.78,60.60,21.43,914.94,29837,-0.49,0.07,9.79,-0.05,0.07,0.00,-0.62,-0.19,0.00,-0.19,-12.38,-29.06,347.50,-2.56,0.00,0.99,-0.00,0.02,0.11,2020,8,2,0,1,40,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,22.03,a,-42.61,21.05,a,79.44,20.46,a,-36.30,20.85,fin
83,1210.00,21.33,915.78,60.60,21.43,914.94,29841,-0.41,0.13,9.73,0.02,0.10,-0.05,-0.44,-0.50,0.00,0.06,-11.69,-28.25,347.50,-2.56,0.00,0.99,-0.00,0.02,0.11,2020,8,2,0,1,40,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,22.03,a,-40.51,21.05,a,79.44,20.46,a,-34.20,20.95,fin
84,1200.00,21.40,915.76,60.11,21.44,914.93,29848,-0.54,0.08,9.75,-0.10,0.09,-0.04,-0.31,-0.25,0.00,-1.00,-11.69,-28.25,347.50,-2.56,0.00,0.99,-0.00,0.02,0.11,2020,8,2,0,1,41,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-43.66,22.03,a,-40.51,21.05,a,81.54,20.46,a,-36.30,20.85,fin
85,1190.00,21.35,915.81,60.02,21.45,914.94,29860,-0.43,0.10,9.70,0.01,0.11,-0.08,0.38,0.44,0.00,-1.25,-11.69,-28.25,347.50,-2.56,-0.06,0.99,-0.00,0.02,0.11,2020,8,2,0,1,42,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-40.51,22.03,a,-40.51,21.05,a,81.54,20.46,a,-39.46,20.85,fin
86,1180.00,21.36,915.83,60.16,21.44,914.95,29881,-0.43,0.12,9.72,0.01,0.13,-0.07,-0.19,-0.50,0.19,-0.56,-12.00,-29.38,347.50,-2.56,0.00,0.99,-0.00,0.02,0.11,2020,8,2,0,1,43,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-43.66,22.03,a,-39.46,21.05,a,81.54,20.46,a,-36.30,20.95,fin
90,1170.00,21.36,915.81,60.24,21.46,914.95,29891,-0.47,0.12,9.78,-0.03,0.13,-0.01,-0.06,-0.44,0.12,0.50,-11.25,-28.69,347.50,-2.56,-0.06,0.99,-0.00,0.02,0.11,2020,8,2,0,1,46,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-43.66,22.03,a,-40.51,21.05,a,78.39,20.56,a,-36.30,20.85,fin
92,1160.00,21.37,915.81,60.01,21.48,914.95,29902,-0.44,0.12,9.77,0.00,0.13,-0.02,0.38,-0.06,0.12,-0.19,-12.38,-29.06,347.50,-2.56,-0.06,0.99,-0.00,0.02,0.11,2020,8,2,0,1,48,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,1,0,0,a,-40.51,22.03,a,-39.46,21.05,a,79.44,20.56,a,-36.30,20.85,fin
95,1150.00,21.39,915.83,60.90,21.48,914.95,29923,-1.43,0.27,9.73,0.27,0.00,0.08,-1.56,-3.81,0.62,9.88,-1.38,-18.06,4.31,-10.00,1.69,1.00,0.02,0.09,-0.04,2020,8,2,0,1,51,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,1,0,0,a,-41.56,22.03,a,-39.46,21.05,a,78.39,20.46,a,-37.35,20.95,fin
